feature,importance
first_person_count,0.3126923612365832
punctuation_density,0.22070783967294205
dependency_depth_mean,0.07513296559168751
pos_bigram_entropy,0.0483907722417951
avg_sentence_length,0.04368632432329028
hedge_words_count,0.042936117361690875
avg_word_length,0.040318258739684774
function_word_ratio,0.03542913402751008
grade_level,0.019285069561476145
clause_density,0.01738552363270617
readability_score,0.016652939086978832
readability_oscillation,0.014563441180334176
passive_voice_ratio,0.013963854493714251
lexical_compression_ratio,0.012024181791138892
person_entity_count,0.011992879740041994
entity_density,0.011156690736278549
sentence_length_variability,0.010865685920485653
burstiness_index,0.010322116683223288
sentence_length_cv,0.009378504803238622
sentence_similarity_drift,0.008691652375218272
lexical_diversity,0.007907663172598684
type_token_ratio,0.006390091658206253
sentiment_variance,0.005997430608436849
sentence_count,0.0025621485844759275
intensifier_count,0.000783533573266713
unique_bigram_ratio,0.0007828192029968877
structural_redundancy,0.0
exclamation_count,0.0
question_count,0.0
contraction_density,0.0
org_entity_count,0.0
location_entity_count,0.0
